Aelius,HP,B,2,46,49253,16511,13209,8504,8256,
Seriff,DMG,C,4,46,49253,23138,15761,9851,9851,
Grimm,DMG,B,3,46,49253,22248,15761,9851,10442,
Eligos,DMG,B,2,46,412778,19701,13209,8256,8504,
Yarnaros,DMG,B,3,46,50731,22248,15761,9851,9851,
Tsubaki,DMG,S,1,46,57970,26185,18550,11594,12290,
Shirayuki,DMG,S,3,50,115311,50773,34811,21757,21757,
Uzuriel,CRIT,A,3,46,77866,31770,24917,17355,15573,
Zaahir,CRIT,A,2,46,65555,26746,20977,14806,13111,
Abraxas,CRIT,A,2,46,49253,20095,15761,11124,9851,
Gigas,HP,B,2,46,49253,16511,13473,8256,8256,
Alessa,EVA,B,1,36,19800,7920,6463,3960,4545,
Kotonoha,EVA,A,1,45,34992,14557,11197,6998,8348,
Bahadur,EVE,B,3,36,25650,10260,8208,5284,5990,
Higa,EVA,S,1,46,49253,20095,15761,9851,11124,
Tyr,EVA,S,1,36,25650,10260,8208,5284,5990,
Merilee,DEF,C,3,40,26411,10564,9628,5440,5282,
Sigrun,DEF,B,2,36,22725,9090,8208,4681,4545,
Cyril,DEF,A,2,40,30086,12034,11901,6017,6017,
Quelkulan,DEF,B,3,46,49253,20095,17798,9851,9851,
